79,142.94,-11119.00,-17.818,1.1020E-05,2,229.15,1.60E-01,619.85,2.36E+06,79
80,18.947,-154.47,-0.5723,3.8899E-02,1,18.73,1.72E+04,38.35,1.66E+06,80
81,62.711,-6503.50,-5.7669,1.0427E-06,2,210.15,2.64E+00,628,6.03E+06,81
82,43.751,-5587.70,-3.0891,8.2664E-07,2,282.85,7.53E+02,650.15,5.38E+06,82
83,86.295,-7010.30,-9.5972,6.7794E-06,2,220.6,2.13E+01,611,7.17E+06,83
84,72.227,-7537.60,-7.0596,9.1442E-18,6,175.3,7.14E-04,584.1,2.46E+06,84
85,53.187,-6827.50,-4.3233,2.3112E-18,6,248.39,6.41E+00,683.95,4.07E+06,85
86,77.105,-8111.10,-7.8886,2.7267E-06,2,256.15,6.49E+00,705,4.07E+06,86
87,88.31,-8463.40,-9.6308,4.5833E-06,2,326.14,1.23E+03,684.75,4.07E+06,87
88,66.611,-5493.10,-6.7301,5.3579E-06,2,176.19,2.21E+00,523,5.11E+06,88
89,92.355,-6920.40,-10.651,9.1426E-06,2,237.49,2.37E+02,561.6,5.32E+06,89
90,101.6,-6541.60,-12.247,1.2311E-05,2,178.01,5.93E+00,510,6.09E+06,90
91,83.495,-6661.40,-9.2386,6.7652E-06,2,200,4.52E+00,560,4.24E+06,91
92,65.955,-6015.60,-6.5509,4.3172E-06,2,172.71,8.25E-02,572,4.23E+06,92
93,106.38,-13714.00,-11.06,3.2645E-18,6,301.15,1.02E-01,736.6,4.26E+06,93
94,49.314,-4949.00,-3.9256,9.1978E-18,6,223.35,3.74E+02,496.6,3.67E+06,94
95,136.9,-6954.30,-19.254,2.4508E-02,1,156.85,3.95E-01,466.7,3.64E+06,95
96,46.705,-5177.40,-3.5985,1.7147E-06,2,169.20,9.93E-02,557.15,3.96E+06,96
97,73.491,-4385.90,-8.1851,1.2978E-05,2,154.56,6.45E+01,386.44,4.51E+06,97
98,84.625,-5217.40,-9.871,1.3050E-05,2,215,2.83E+03,445,4.37E+06,98
99,69.132,-3847.70,-7.5868,1.5065E-05,2,136.95,5.43E+01,351.255,5.76E+06,99
100,462.84,-18227.00,-73.734,9.2794E-02,1,176.85,4.47E-03,523.1,3.20E+06,100
101,41.631,-4668.70,-2.8551,6.3693E-04,1,187.65,6.86E+00,500.05,2.87E+06,101
102,50.868,-6036.50,-4.066,1.1326E-06,2,204.81,8.21E-01,576,3.02E+06,102
103,53.637,-5251.20,-4.5649,1.6754E-17,6,159.95,9.45E-02,507.8,3.77E+06,103
104,62.097,-6174.90,-5.715,1.2323E-17,6,226.1,4.50E+01,543,3.45E+06,104
105,66.592,-4999.80,-6.8387,6.6793E-06,2,240.91,6.12E+03,473.2,4.87E+06,105
106,71.738,-5302.00,-7.3324,6.4200E-17,6,180.96,7.56E+01,437.2,5.26E+06,106
107,77.161,-5691.10,-8.501,8.0325E-06,2,145.19,1.52E-02,500,3.13E+06,107
108,81.184,-6927.00,-8.8498,5.4580E-06,2,239.66,6.06E+01,591.15,2.94E+06,108
109,78.952,-7075.40,-8.4344,4.5035E-06,2,223.16,6.41E+00,606.15,2.94E+06,109
110,78.429,-6882.10,-8.4129,4.9831E-06,2,184.99,8.04E-02,596.15,2.94E+06,110
111,81.045,-6941.30,-8.777,5.5501E-06,2,188.44,2.07E-01,615,5.36E+06,111
112,44.704,-3525.60,-3.4444,5.4574E-17,6,131.65,3.05E+00,400.1,5.27E+06,112
113,82.762,-7955.50,-8.8038,4.2431E-06,2,212.72,1.95E-01,649.6,4.37E+06,113
114,78.335,-6348.70,-8.5105,6.4311E-06,2,160,1.26E-02,537.3,2.88E+06,114
115,72.517,-10415.00,-6.755,1.3269E-06,2,274.18,3.72E-02,766,2.78E+06,115
116,63.08,-4062.30,-6.425,1.5115E-16,6,122.93,4.15E-01,402,3.56E+06,116
117,84.39,-5740.60,-9.6454,1.0073E-05,2,174.88,7.86E+00,503.04,5.53E+06,117
118,56.273,-7620.60,-4.6279,4.3819E-07,2,291.67,5.02E+01,729,5.65E+06,118
119,43.541,-8204.80,-2.7519,1.0466E-18,6,413.8,1.26E+03,772,2.78E+06,119
120,44.494,-5406.70,-3.1287,2.8913E-18,6,284.95,2.53E+03,587,5.16E+06,120
121,59.969,-8585.50,-5.1538,1.9983E-18,6,300.03,7.09E+00,766.8,3.10E+06,121
122,54.000,-6018.50,-4.4981,9.9684E-18,6,210,3.69E+00,550.0,3.11E+06,122
123,137.470,-11976.00,-16.698,8.0906E-06,2,263.57,6.15E-01,658,1.82E+06,123
124,203.66,-19441.00,-25.525,8.8382E-06,2,309.58,9.26E-03,768,1.18E+06,124
125,51.86,-2598.70,-5.1283,1.4913E-05,2,90.35,1.13E+00,305.32,4.85E+06,125
126,73.304,-7122.30,-7.1424,2.8853E-06,2,159.05,4.96E-04,514,6.11E+06,126
127,66.824,-6227.60,-6.41,1.7914E-17,6,189.6,1.43E+00,523,3.85E+06,127
128,81.560,-5596.90,-9.0779,8.7920E-06,2,192.15,1.52E+02,456,5.59E+06,128
129,89.063,-7733.70,-9.917,5.9860E-06,2,178.20,3.91E-03,617.2,3.59E+06,129
130,52.923,-7531.70,-4.2347,1.1835E-06,2,238,1.69E-01,698.0,3.20E+06,130
131,90.464,-10243.00,-9.2836,5.2573E-18,6,258.15,4.63E-01,655,3.40E+06,131
132,57.66,-6346.50,-5.032,8.2534E-18,6,175.15,1.04E-02,571,2.94E+06,132
133,80.21,-7203.20,-8.6023,4.5901E-06,2,161.84,3.57E-04,609.15,3.04E+06,133
134,88.671,-7012.70,-10.045,7.4578E-06,2,134.71,3.71E-06,570,3.41E+06,134
135,53.963,-2443.00,-5.5643,1.9079E-05,2,104.0,1.26E+02,282,5.03E+06,135
136,73.510,-7572.70,-7.1435,1.2124E-17,6,284.29,6.78E+02,593,6.29E+06,136
137,84.090,-10411.00,-8.1976,1.6536E-18,6,260.15,2.19E-01,720.0,8.26E+06,137
138,66.510,-6019.20,-6.3332,1.0394E-17,6,195,9.71E+00,537.0,6.85E+06,138
139,91.944,-5293.40,-11.682,1.4902E-02,1,160.65,7.79E+00,469,7.26E+06,139
140,73.83,-5817.00,-7.809,6.3200E-06,2,193.55,1.81E+01,508,4.71E+06,140
141,117.52,-12991.00,-12.895,6.1306E-18,6,235.00,2.86E-04,674.60,2.79E+06,141
142,77.523,-7978.80,-7.7757,1.0076E-17,6,180.00,7.60E-04,583,2.46E+06,142
143,57.723,-5236.90,-5.2136,2.2998E-17,6,140.0,4.31E-03,489,3.42E+06,143
144,57.459,-6356.80,-4.9545,5.2015E-18,6,204.15,9.70E-01,567,3.29E+06,144
145,65.551,-5027.40,-6.6853,6.3208E-06,2,125.26,1.14E-03,499.2,5.49E+06,145
146,105.640,-8007.00,-12.477,9.0000E-06,2,199,7.80E-01,546.0,3.34E+06,146
147,86.898,-6646.40,-9.5758,5.9615E-17,6,145.65,1.61E-03,500,3.37E+06,147
148,62.61,-6148.20,-5.84,1.0900E-17,6,167.55,1.85E-02,560,3.32E+06,148
149,42.39,-1103.30,-4.1203,5.7815E-05,2,53.48,2.53E+02,144.12,5.17E+06,149
150,51.915,-5439.00,-4.2896,8.7527E-18,6,230.94,1.51E+02,560,4.54E+06,150
151,56.639,-3576.50,-5.5801,9.8969E-06,2,130.0,8.37E+00,375,5.01E+06,151
152,59.123,-3043.70,-6.1845,1.6637E-05,2,131.35,4.33E+02,317,5.88E+06,152
153,101.510,-4917.20,-13.765,2.2031E-02,1,181.15,8.87E+02,408.0,6.59E+06,153
154,100.300,-10763.00,-10.946,3.8503E-06,2,276,1.04E+00,771.0,7.75E+06,154
155,50.323,-5378.20,-4.203,3.4697E-06,2,281.45,2.40E+03,588,5.81E+06,155
156,74.74,-5417.00,-8.0636,7.4700E-06,2,187.55,5.00E+01,490,5.55E+06,156
157,11.53,-8.99,0.6724,2.7430E-01,1,1.76,1.46E+03,5.20,2.29E+05,157
